benchmark_or_result_id	dependency_type	original_path	reason_required	loaded_by	direct_or_transitive	sha256	size_bytes	classification	planned_destination	bundled_or_external
01_safe_hybrid,05,06	python_producer	claude_qlr_diagnostics/rescue_full_run.py	Results 1 + 5 (same run)	01/05_RUN.sh	direct	a5321206c449523d828c3e6609713a4e015cc1809ff9546e936f9c664a77c2dd	13945	source_code	python/hybrid/rescue_full_run.py	bundled_path_adjusted
06	python_producer	claude_qlr_diagnostics/rescue_stage2_accuracy.py	Result 6	06_RUN.sh	direct	e3e0cf506a803289528169f7ffcfecedd1550c060e470f8e2309f63c82e40a79	20672	source_code	python/hybrid/rescue_stage2_accuracy.py	bundled_path_adjusted
02	python_producer	native_qlr_optimization/.../python/final_validate.py	Result 2	02_RUN.sh	direct	2b158d80ae0dd1933c04895ec7d85074a7aed9a26b3d8b323bbc3acd19db9796	8784	source_code	python/native/final_validate.py	bundled_path_adjusted
03	python_producer	native_qlr_optimization/.../python/benchmark_native.py	Result 3	03_RUN.sh	direct	3746e31a514443f9ba7aa3e16e9a24cb9951d600bffa2535989820b46e5176d6	7562	source_code	python/native/benchmark_native.py	bundled_path_adjusted
04	python_producer	native_qlr_optimization/.../python/canonical_final.py	Result 4	04_RUN.sh	direct	6ece4bfdab46aa0326fcee88389d7e13d1617d693686b91f64708007286c294a	5477	source_code	python/native/canonical_final.py	bundled_path_adjusted
04	python_helper	SUBMISSION_REPRO_PACKAGE/04_native_canonical_v3/aggregate_results.py	Result 4 post-processing	04_RUN.sh	direct	<byte-identical copy — see COPY_MANIFEST.tsv>	5170	source_code	benchmarks/04_native_canonical_v3/aggregate_results.py	bundled_verbatim
01,05,06	python_helper	msmarco_HNSW/src/data_loading.py	load_embeddings_from_parquets, l2_normalize	rescue_full_run.py, rescue_stage2_accuracy.py	direct	<see COPY_MANIFEST.tsv>	1857	source_code	python/hybrid/src/data_loading.py	bundled_verbatim
01,05,06	python_helper	msmarco_HNSW/src/indexing.py	load_index (faiss.read_index)	rescue_full_run.py, rescue_stage2_accuracy.py	direct	<see COPY_MANIFEST.tsv>	1483	source_code	python/hybrid/src/indexing.py	bundled_verbatim
01,05,06	python_helper	(generated)	explicit-package __init__ so import works without namespace-package quirks	src.data_loading / src.indexing	transitive	<see COPY_MANIFEST.tsv>	~200	generated	python/hybrid/src/__init__.py	generated
02,03,04	native_source	native_qlr_optimization/.../src/native_qlr.cpp	rebuilds native_qlr module	build/BUILD_NATIVE.sh	direct	f413e1bce62a4fc19549d3fa616b2ab797f6beee1fb210816bab98be8a42c5b6	26863	source_code	native/src/native_qlr.cpp	bundled_verbatim
02,04	native_source	native_qlr_optimization/.../src/native_qlr_v2.cpp	rebuilds native_qlr_v2 module	build/BUILD_NATIVE.sh	direct	d7c8fedc5eedbe8f94bf17fceadce2f6e9e66cc5a68b77bad37574a5e50865e0	30527	source_code	native/src/native_qlr_v2.cpp	bundled_verbatim
04	native_source	native_qlr_optimization/.../src/native_qlr_v3.cpp	rebuilds native_qlr_v3 module	build/BUILD_NATIVE.sh	direct	afc98a0efefd02cd8f9ea9f2c99fd29791f0c86f37bac98c165e6619a172caa5	33702	source_code	native/src/native_qlr_v3.cpp	bundled_verbatim
02,03,04	native_build	native_qlr_optimization/.../build/build.sh	reference build recipe for v1	build/BUILD_NATIVE.sh	direct	6a2d4d4826fd16c900d49a45db0d2ae5f99997a72cca3d76636d7d8ef6a3051d	1079	source_code	native/src/original_build.sh	bundled_verbatim
02,04	native_build	native_qlr_optimization/.../build/build_v2.sh	reference build recipe for v2	build/BUILD_NATIVE.sh	direct	96ca3974f9665714e6f8649c75dbb3e79043c0bd729d3de7f9b94118daea14a2	863	source_code	native/src/original_build_v2.sh	bundled_verbatim
04	native_build	native_qlr_optimization/.../build/build_v3.sh	reference build recipe for v3	build/BUILD_NATIVE.sh	direct	d235021b42add555f59297565a6948f27bfb44a3032a97565ec2b5c0515648c3	832	source_code	native/src/original_build_v3.sh	bundled_verbatim
02,03,04	native_prebuilt	native_qlr_optimization/.../build/native_qlr.cpython-310-x86_64-linux-gnu.so	optional fast path (cpython-310 x86-64)	python/native/*.py sys.path.insert	direct	0825c10d7bc370c2471a2470f5fea32a3349a1cf793457543ec7690429c38fa4	308112	binary_prebuilt	native/prebuilt/native_qlr.cpython-310-x86_64-linux-gnu.so	bundled_prebuilt
02,04	native_prebuilt	native_qlr_optimization/.../build/native_qlr_v2.cpython-310-x86_64-linux-gnu.so	optional fast path	python/native/*.py sys.path.insert	direct	aa8718820898e701dde5bad45fcc1d960f23b2898f08594eb643aec7b13e1368	288296	binary_prebuilt	native/prebuilt/native_qlr_v2.cpython-310-x86_64-linux-gnu.so	bundled_prebuilt
04	native_prebuilt	native_qlr_optimization/.../build/native_qlr_v3.cpython-310-x86_64-linux-gnu.so	optional fast path	python/native/*.py sys.path.insert	direct	634400af269916c9c3be7521392691639abfa491b1946da3bf29dc5795de9211	288384	binary_prebuilt	native/prebuilt/native_qlr_v3.cpython-310-x86_64-linux-gnu.so	bundled_prebuilt
01,05,06	external_data	msmarco_snowflake/dev_query/*.parquet	dev-query embeddings	src.data_loading.load_embeddings_from_parquets	direct	n/a	~43 MB	external_dataset	<env: DEV_QUERY_DIR>	external
01,05,06	external_data	treccast_hnsw_M32.index	158 GB TREC-CAsT HNSW index	src.indexing.load_index	direct	n/a	168768858058	external_dataset	<env: HYBRID_DOC_INDEX>	external
01,05,06	external_data	querylog_pca256/pca_1024_to_256.joblib	PCA model (sklearn.decomposition.PCA)	joblib.load in producers	direct	n/a	1056698	external_asset	<env: PCA_MODEL or PCA_QL_DIR/...>	external
01,05,06	external_data	querylog_pca256/train_query_pca256_hnsw.faiss	router HNSW index	load_index in producers	direct	n/a	1048220966	external_dataset	<env: ROUTER_INDEX or PCA_QL_DIR/...>	external
06	external_data	querylog_pca256/qmax_pca256.npy	scalar float32	np.load in stage-2	direct	n/a	132	external_asset	<env: PCA_QMAX or PCA_QL_DIR/...>	external
01,05,06	external_data	qlr_artifacts_full/ep_indices.npy	router EP index table	np.load	direct	n/a	32349368	external_dataset	<env: QLR_ARTIFACT_DIR>	external
01,05,06	external_data	qlr_artifacts_full/ep_distances.npy	router EP distances (loaded for parity)	np.load	direct	n/a	32349368	external_dataset	<env: QLR_ARTIFACT_DIR>	external
01,05,06	external_data	exact_results_full/exact_indices.npy	exact top-10 for accuracy@10	np.load	direct	n/a	558528	external_dataset	<env: EXACT_DIR>	external
02,03,04	external_data	faithful_msmarco_v1_.../ground_truth/dev_small_query_embs.npy	native dev queries (float32)	np.load	direct	n/a	28590080	external_dataset	<env: FAITH_ROOT>	external
02,03,04	external_data	faithful_msmarco_v1_.../ground_truth/dev_small_exact_top10_ids.npy	native GT ids (int32)	np.load	direct	n/a	279200	external_dataset	<env: FAITH_ROOT>	external
02,03,04	external_data	faithful_msmarco_v1_.../ep_table/ep_scores.npy	s_max quantile	np.load	direct	n/a	217190400	external_dataset	<env: FAITH_ROOT>	external
02,03,04	external_data	native_qlr_optimization/.../build/native_export/*	4.2 GB flat binaries (doc_vecs, iq_vecs, pca_mean, ep_ids, ...)	NativeQLR(EXPORT_DIR)	direct	n/a	~4400000000	external_dataset	<env: NATIVE_EXPORT_DIR>	external
01,05,06	python_pkg	pypi:numpy==1.26.4	array + math	rescue_full_run.py, rescue_stage2_accuracy.py, src.*	direct	n/a	n/a	pypi_dep	requirements.txt	external
01,05,06	python_pkg	pypi:faiss-cpu==1.9.0	IndexHNSWFlat, search_level_0	rescue_full_run.py, rescue_stage2_accuracy.py, src.indexing	direct	n/a	n/a	pypi_dep	requirements.txt	external
01,05,06	python_pkg	pypi:joblib==1.5.3	pca joblib.load	rescue_full_run.py, rescue_stage2_accuracy.py	direct	n/a	n/a	pypi_dep	requirements.txt	external
01,05,06	python_pkg	pypi:threadpoolctl==3.6.0	threadpool_limits(1)	rescue_full_run.py, rescue_stage2_accuracy.py	direct	n/a	n/a	pypi_dep	requirements.txt	external
01,05,06	python_pkg	pypi:pandas==3.0.3	parquet read	src.data_loading	transitive	n/a	n/a	pypi_dep	requirements.txt	external
01,05,06	python_pkg	pypi:pyarrow==24.0.0	parquet backend	pandas	transitive	n/a	n/a	pypi_dep	requirements.txt	external
01,05,06	python_pkg	pypi:scikit-learn==1.9.0	class defs for pickled PCA	joblib.load pca_1024_to_256.joblib	transitive	n/a	n/a	pypi_dep	requirements.txt	external
02,03,04	python_pkg	pypi:numpy==1.26.4	array + math	all native producers	direct	n/a	n/a	pypi_dep	requirements.txt	external
build	python_pkg	pypi:pybind11==3.0.4	include path for -I	build/BUILD_NATIVE.sh	build-only	n/a	n/a	pypi_dep	build/README.md	external
all	system	g++ (Debian 12.2.0)	native rebuild	build/BUILD_NATIVE.sh	build-only	n/a	n/a	system_dep	build/README.md	external
all	system	taskset (util-linux)	CPU pinning	every RUN.sh	direct	n/a	n/a	system_dep	README.md	external
all	system	Linux kernel + glibc 2.36	.so runtime	.so	direct	n/a	n/a	system_dep	README.md	external
07	python_producer	paper2_final_track/optimization_search/paper2_faithful_20260718_231400/runner.py	Experiment 7 producer	07_RUN.sh	direct	4b3cac280ec441904b36a2a5077a1f92896bbcd7589c547b0710ec3787d81c1d	33363	source_code	python/faithful/runner.py	bundled_path_adjusted
07	python_helper	paper2_final_track/optimization_search/paper2_faithful_20260718_231400/faithful_qlr.py	Algorithm 1 implementation (FaithfulQLR, QLRConfig, QLRHandles)	python/faithful/runner.py	direct	042958a516bcf0fb5c0a73a1ec0d17627fd20e9fc2c36d36c9d4f3769867d6aa	7564	source_code	python/faithful/faithful_qlr.py	bundled_verbatim
07	python_helper	(generated)	explicit-package __init__ for python/faithful	sys.path resolution	transitive	918d9e4f9567222b4e1e73c0c9e52dde399b559123ceb74d250698c7dbbad9f8	152	generated	python/faithful/__init__.py	generated
07	python_helper	msmarco_HNSW/src/data_loading.py	load_embeddings_from_parquets, l2_normalize	python/faithful/runner.py	direct	<see COPY_MANIFEST.tsv row src/data_loading.py>	1857	source_code	python/hybrid/src/data_loading.py (shared with 1,5,6)	bundled_verbatim
07	python_helper	msmarco_HNSW/src/indexing.py	load_index (faiss.read_index)	python/faithful/runner.py	direct	<see COPY_MANIFEST.tsv row src/indexing.py>	1483	source_code	python/hybrid/src/indexing.py (shared with 1,5,6)	bundled_verbatim
07	external_data	msmarco_snowflake/dev_query/*.parquet	dev-query embeddings	src.data_loading.load_embeddings_from_parquets	direct	n/a	~43 MB	external_dataset	<env: DEV_QUERY_DIR> (shared with 1,5,6)	external
07	external_data	treccast_hnsw_M32.index	158 GB TREC-CAsT HNSW index	src.indexing.load_index	direct	n/a	168768858058	external_dataset	<env: HYBRID_DOC_INDEX> (shared with 1,5,6)	external
07	external_data	querylog_pca256/train_query_pca256_hnsw.faiss	I_Q PCA-router HNSW index	load_index in runner.py	direct	n/a	1048220966	external_dataset	<env: ROUTER_INDEX or PCA_QL_DIR/...> (shared with 1,5,6)	external
07	external_data	qlr_artifacts_full/ep_indices.npy	EP union source	np.load in runner.py	direct	n/a	32349368	external_dataset	<env: QLR_ARTIFACT_DIR> (shared with 1,5,6)	external
07	external_data	qlr_artifacts_full/ep_distances.npy	s_max source (25th pct of squared-L2)	np.load in runner.py	direct	n/a	32349368	external_dataset	<env: QLR_ARTIFACT_DIR> (shared with 1,5,6)	external
07	external_data	exact_results_full/exact_indices.npy	acc@10 ground truth	np.load in runner.py	direct	n/a	558528	external_dataset	<env: EXACT_DIR> (shared with 1,5,6)	external
07	external_data	exact_results_full/exact_scores.npy	assertion only (not compared)	np.load in runner.py	direct	n/a	~546 KB	external_dataset	<env: EXACT_DIR> (Experiment 7)	external
07	external_data	paper2_final_track/optimization_search/pca_extracted/pca_mean_1024.npy	PCA offset (float32 [1024])	np.load in runner.py	direct	n/a	4224	external_asset	<env: FAITHFUL_PCA_MEAN or FAITHFUL_PCA_DIR/...>	external
07	external_data	paper2_final_track/optimization_search/pca_extracted/pca_components_256x1024.npy	PCA components (float32 [256,1024])	np.load in runner.py	direct	n/a	1048704	external_asset	<env: FAITHFUL_PCA_COMPONENTS or FAITHFUL_PCA_DIR/...>	external
07	python_pkg	pypi:numpy==1.26.4	array + math	python/faithful/runner.py	direct	n/a	n/a	pypi_dep	requirements.txt	external
07	python_pkg	pypi:faiss-cpu==1.9.0	IndexHNSWFlat, search_level_0	python/faithful/runner.py	direct	n/a	n/a	pypi_dep	requirements.txt	external
07	python_pkg	pypi:threadpoolctl==3.6.0	timed-loop wrapping	python/faithful/runner.py	direct	n/a	n/a	pypi_dep	requirements.txt	external
07	python_pkg	pypi:pandas==3.0.3	parquet read	src.data_loading	transitive	n/a	n/a	pypi_dep	requirements.txt	external
07	python_pkg	pypi:pyarrow==24.0.0	parquet backend	pandas	transitive	n/a	n/a	pypi_dep	requirements.txt	external
08	python_producer	(new hybrid producer; verbatim timed fns from faithful/runner.py + protocol from native/final_validate.py)	Benchmark 08	08_RUN.sh	direct	bd5c23f931043e8161bd323d153b614c376da497474d63b067744a4104a908c2	21990	source_code	python/hybrid/cachewarmed_treccast.py	generated
08	python_helper	python/faithful/faithful_qlr.py	FaithfulQLR (imported unmodified)	python/hybrid/cachewarmed_treccast.py	direct	042958a516bcf0fb5c0a73a1ec0d17627fd20e9fc2c36d36c9d4f3769867d6aa	7564	source_code	python/faithful/faithful_qlr.py (shared with 07)	bundled_verbatim
08	python_helper	msmarco_HNSW/src/data_loading.py	load_embeddings_from_parquets, l2_normalize	python/hybrid/cachewarmed_treccast.py	direct	<see COPY_MANIFEST.tsv>	1857	source_code	python/hybrid/src/data_loading.py (shared with 1,5,6,7)	bundled_verbatim
08	python_helper	msmarco_HNSW/src/indexing.py	load_index	python/hybrid/cachewarmed_treccast.py	direct	<see COPY_MANIFEST.tsv>	1483	source_code	python/hybrid/src/indexing.py (shared with 1,5,6,7)	bundled_verbatim
08	external_data	msmarco_snowflake/dev_query/*.parquet	dev-query embeddings	src.data_loading	direct	n/a	~43 MB	external_dataset	<env: DEV_QUERY_DIR> (shared 1,5,6,7)	external
08	external_data	treccast_hnsw_M32.index	158 GB TREC-CAsT HNSW index	src.indexing.load_index	direct	n/a	168768858058	external_dataset	<env: HYBRID_DOC_INDEX> (shared 1,5,6,7)	external
08	external_data	querylog_pca256/pca_1024_to_256.joblib	PCA model (mean_, components_)	joblib.load	direct	n/a	1056698	external_asset	<env: PCA_MODEL or PCA_QL_DIR/...> (shared 1,5,6)	external
08	external_data	querylog_pca256/train_query_pca256_hnsw.faiss	router I_Q index	load_index	direct	n/a	1048220966	external_dataset	<env: ROUTER_INDEX or PCA_QL_DIR/...> (shared 1,5,6,7)	external
08	external_data	qlr_artifacts_full/ep_indices.npy	EP union source	np.load	direct	n/a	32349368	external_dataset	<env: QLR_ARTIFACT_DIR> (shared 1,5,6,7)	external
08	external_data	qlr_artifacts_full/ep_distances.npy	s_max source	np.load	direct	n/a	32349368	external_dataset	<env: QLR_ARTIFACT_DIR> (shared 1,5,6,7)	external
08	external_data	exact_results_full/exact_indices.npy	acc@10 ground truth	np.load	direct	n/a	558528	external_dataset	<env: EXACT_DIR> (shared 1,5,6,7)	external
08	python_pkg	pypi:faiss-cpu==1.9.0 + numpy + joblib + threadpoolctl + pandas + scikit-learn	hybrid QLR + PCA + parquet	python/hybrid/cachewarmed_treccast.py	direct	n/a	n/a	pypi_dep	requirements.txt	external
preproc	python_producer	msmarco_HNSW/scripts/build_index.py	full document HNSW index	preprocessing	direct	82b2bc39ea6ca7f5d9986f4dd889843501db1f548499f18ce87918c1791415b3	2989	source_code	preprocessing/scripts/build_index.py	bundled_path_adjusted
preproc	python_producer	msmarco_HNSW/scripts/build_query_log_pca.py	PCA model + router index + qmax	preprocessing	direct	5adaba37748ea889271ee5cf97758d5012fe17bbd1d5a006227f0bd4361405db	5953	source_code	preprocessing/scripts/build_query_log_pca.py	bundled_path_adjusted
preproc	python_producer	msmarco_HNSW/scripts/build_ep_table.py	EP table	preprocessing	direct	c82f5f674139dad6c5068dae5e2d4b0452c3a75c6f98060402b6bd11205db121	3872	source_code	preprocessing/scripts/build_ep_table.py	bundled_path_adjusted
preproc	python_producer	msmarco_HNSW/scripts/flat_index_search_acc.py	exact ground truth	preprocessing	direct	04b826a4ce26e63c8a7ce577be0b2004aa961d7a43485bd32a739e38f2d31dd9	4332	source_code	preprocessing/scripts/flat_index_search_acc.py	bundled_path_adjusted
preproc	python_helper	msmarco_HNSW/src/data_loading.py	shared helper	preprocessing/scripts/*	transitive	56eb99e552a808f21858309a5bf6ad9cf817d72a40808a61fb78a07daa9a3b69	1857	source_code	preprocessing/src/data_loading.py	bundled_verbatim
preproc	python_helper	msmarco_HNSW/src/indexing.py	shared helper	preprocessing/scripts/*	transitive	a96be20e6324fa6780d2c76b4dd7695cf77ec1493c2a890a64c657ab73b0a0be	1483	source_code	preprocessing/src/indexing.py	bundled_verbatim
